model,node,Estimate,Std. Error,z value,Pr(>|z|)
X1,A1,434.8983492,557.5175049,0.780062232,0.435354246
X2,A2,544.2695548,194.3188623,2.800909538,0.00509588
X3,A3,-8109.629002,3369.641596,-2.406674054,0.016098531
X4,A4,4487.947732,6472.160736,0.693423404,0.488043879
X4,A5,4487.947732,6472.160736,0.693423404,0.488043879
X4,A6,4487.947732,6472.160736,0.693423404,0.488043879
X5,A7,-229.8583174,257.0880246,-0.894084109,0.371276891
X6,A8,485.8439602,313.7726549,1.548394842,0.121527262
X7,A9,-38900.25674,3582387.965,-0.01085875,0.991336141
X8,A10,21.28492386,11.5922147,1.836139548,0.066337021
X9,A11,-16.59166832,8.374877509,-1.9811237,0.047577403
X10,A12,649.6716677,255.2214847,2.545521074,0.010911478
X11,A13,2270.311914,7794.666036,0.291264809,0.7708488
X12,A14,83.37784646,42.32338391,1.970018433,0.048836258
X13,A15,4545.446742,6038.479242,0.752746935,0.451602
X13,A16,4545.446742,6038.479242,0.752746935,0.451602
X13,A17,4545.446742,6038.479242,0.752746935,0.451602
X13,A18,4545.446742,6038.479242,0.752746935,0.451602
X13,A19,4545.446742,6038.479242,0.752746935,0.451602
X13,A20,4545.446742,6038.479242,0.752746935,0.451602
